id,nama,perusahaan,jenis_pestisida,no_registrasi,tgl_terbit,tgl_berakhir
6583,KAWE JOSS 250 SL,TIGA MUARA EMAS MAKMUR,Herbisida,01030120196291,2024-08-09,2029-08-09
6584,AVOCET 250 SC,GRAHA AGRITECH PRIMA,Zat Pengatur Tumbuh Tanaman,01040120114109,2022-10-04,2027-10-04
6585,QUATIGO 70 WP,INDOIN BUSINESS GROUP,Herbisida,01030120227578,2022-12-05,2027-12-05
6586,HIT EXPERT 0.08 FU,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120227531,2022-12-05,2027-12-05
6587,CENTAMIL 25 WP,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Insektisida,01010120062369,2026-04-20,2031-04-20
6588,LAMBADA 18 EC,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Insektisida,01010120217254,2026-04-20,2031-04-20
6589,"CONTRAC 0,005 BB",NOVINDO AGRITECH HUTAMA,Rodentisida,06120119971385,2025-11-13,2030-11-13
6590,STORM 0.005 BB,BASF INDONESIA,Rodentisida,0112011987778,2023-04-26,2028-04-26
6591,BIOTRIFOS 250 EC,JIRONA AGRITAMA,Insektisida,01010120175674,2023-08-28,2028-08-28
6592,UNIGAS 25 SP,INTI EVERSPRING INDONESIA,Insektisida,01010120207001,2025-11-13,2030-11-13
6593,BASIS 150 SL,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Herbisida,01030120186173,2024-03-04,2029-03-04
6594,MEC-ZUR 150 EC,AGRO JAYA INDONESIA,Insektisida,01010120175919,2023-04-26,2028-04-26
6595,AGAMEX 20 EC,AGRO GUNA MAKMUR,Insektisida,01010120155287,2026-01-20,2031-01-20
6596,SADA 20/40 SC,BENIH BERKAH BERSERI,Insektisida,01010120269465,2026-04-20,2031-04-20
6597,EQUATION PRO 29/22.5 WG,CORTEVA AGRISCIENCE INDONESIA,Fungisida,01020120001500,2025-11-13,2030-11-13
6598,VAPE 54 VP,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,06080120237832,2023-04-26,2028-04-26
6599,ALEPPO 120 EW,DHARMA GUNA WIBAWA,Herbisida,01030120217109,2026-04-20,2031-04-20
6600,SPEED EXTRA SERTAMAX 80 SL,MAKMUR JAYA AGRO,Zat Pengatur Tumbuh Tanaman,01040120227465,2022-10-04,2027-10-04
6601,COSMOS 500 FS,BASF INDONESIA,Insektisida,032017413,2026-04-20,2031-04-20
6602,ALORID 30 EC,INDO-SINO AGROCHEMICAL,Insektisida,01010120124415,2023-08-28,2028-08-28
6603,ZEUS 10 WP,ARTHA BUANA MANDIRI,Insektisida,01010120165476,2026-04-20,2031-04-20
6604,GALAMEXIL 35 WP,REJEKI INDO AGROTEC,Fungisida,01020120238001,2024-03-04,2029-03-04
6605,SANTACRON 520 EC,SANTANI AGRO PERKASA,Insektisida,01010120093561,2024-03-04,2029-03-04
6606,ROCIMA™ 243 Biocide,BLUE CUBE INDONESIA,Bakterisida,042017461,2022-12-05,2027-12-05
6607,CERTACOR 35 WG,FMC AGRICULTURAL MANUFACTURING,Insektisida,01010120227629,2023-02-08,2028-02-08
6608,DHARMASIP 50 EC,PT. Perusahaan Perdagangan Indonesia (Persero),Insektisida,01010120114122,2022-01-14,2027-01-14
6609,MAXXFURON 30 WP,MAXXI AGRI INDONESIA,Herbisida,01030120258966,2025-09-26,2030-09-26
6610,ULTIMAX 500/50 EC,AGRICULTURE CONSTRUCTION,Insektisida,01010120113982,2025-02-17,2030-02-17
6611,BASATA 480 SL,ALISHAN NUSA INDAH,Herbisida,01030120093313,2023-04-26,2028-04-26
6612,Alpha Cypermethrin 95 TC,DALZON CHEMICALS INDONESIA,Insektisida,042006168,2025-11-13,2030-11-13
6613,TOMSON 600 SC,TIGA MUARA EMAS MAKMUR,Fungisida,01020120227365,2022-06-27,2027-06-27
6614,ASSOCIATE 40/160 SC,NUFARM INDONESIA,Insektisida,01010120165597,2025-11-13,2030-11-13
6615,XYMO BUGTROL 0.30 EC,UNITED ALACRITY INDONESIA,Insektisida,01010120248442,2024-09-19,2029-09-19
6616,MOSHIELD 0.015MC,FUMAKILLA NOMOS,Pestisida Rumah Tangga,032011257,2021-10-12,2026-10-12
6617,KIRARI 50 WG,NUFARM INDONESIA,Fungisida,01020120196364,2023-08-28,2028-08-28
6618,TIK-OFF 80 P*,INDOIN BUSINESS GROUP,Rodentisida,01120120206995,2026-01-20,2031-01-20
6619,Abatrin 30 EC,MAJU MAKMUR UTOMO,Insektisida,01010120165592,2026-07-16,2031-07-16
6620,FENOMIN 865 SL,FAJAR BUANA CHEMICAL,Herbisida,01030120021720,2024-03-04,2029-03-04
6621,MISIL 50 WG,MAXXI AGRI INDONESIA,Insektisida,01010120248407,2024-09-19,2029-09-19
6622,NAGA 500 EC,YASIDA MAKMUR ABADI,Insektisida,01010120072677,2026-04-20,2031-04-20
6623,BULMA 400/150 SL,PETROSIDA GRESIK,Herbisida,01030120072649,2022-06-27,2027-06-27
6624,TRICYPER 325 EC,PERSADA AGRO SUKSES,Insektisida,01010120196482,2024-08-09,2029-08-09
6625,METHOMYL 98 TC,DOUTA UTAMAN INDONESIA,Insektisida,0420261485,2026-04-20,2031-04-20
6626,MANCO 80 WP,EXINDO RAHARJA PRATAMA,Fungisida,01010120165571,2021-10-22,2026-10-22
6627,MANCO 80 WP,EXINDO RAHARJA PRATAMA,Fungisida,01010120165571,2021-10-22,2026-10-22
6628,MESOZINE MIXX 200/70/30 OD,RAINBOW AGROSCIENCES,Herbisida,01030120238024,2024-03-04,2029-03-04
6629,BROADEN MIXX 80/100/40 OD,RAINBOW AGROSCIENCES,Herbisida,01030120237981,2024-03-04,2029-03-04
6630,TOLERIN 300/10 SC,RAINBOW AGROSCIENCES,Herbisida,01030120238069,2024-03-04,2029-03-04
6631,PASTOP 490 SL,MAXXI AGRI INDONESIA,Herbisida,01030120134803,2024-03-04,2029-03-04
6632,MAIZE HELPER 240/60 OD,ZHENGBANG CROP PROTECTION INDONESIA,Herbisida,01030120217256,2022-01-14,2027-01-14
6633,GALIL 300 SC,ROYAL AGRO INDONESIA,Insektisida,01010120124463,2023-04-26,2028-04-26
6634,FYK Ripener 20 GR,MULTI AGRO JAYA UTAMA,Zat Pengatur Tumbuh Tanaman,01040120237756,2023-04-26,2028-04-26
6635,RIZOTIN 40 WP,UNI AGRO CHEMICA,Insektisida,01010120042061,2026-01-20,2031-01-20
6636,PLANTWOOD 99 SP,TRIKA SAKA JAYA,Bahan pengawet kayu,04110120113987,2023-04-26,2028-04-26
6637,TORNUE 50 EC,TRITAMA WIRAKARSA,Insektisida,01010120103813,2026-04-20,2031-04-20
6638,KONSULTAN 200 SC,INDOIN BUSINESS GROUP,Insektisida,01010120259083,2025-11-13,2030-11-13
6639,LASER 60/20 WG,MAXXI AGRI INDONESIA,Insektisida,01010120248402,2024-09-19,2029-09-19
6640,AMIRON-M 2O WG,BIOWORLD BIOSCIENCES MANUFACTURING INDUSTRIES,Herbisida,01030120196410,2024-08-09,2029-08-09
6641,INSSIMO 50 WG,SYNGENTA INDONESIA,Fungisida,01020120237895,2023-08-28,2028-08-28
6642,ALFACRON 500/70 EC,PT Belirang Perkasa Agro,Insektisida,01010120237961,2024-03-04,2029-03-04
6643,PREVENTOL P 91 MV,BLUE CUBE INDONESIA,Pestisida lain-lain,0420251402,2025-09-26,2030-09-26
6644,FARMFOSATE 480 SL,FARMCO KIMIA,Herbisida,01030120072938,2023-04-26,2028-04-26
6645,REDOKS 25 EC,AGRICULTURE CONSTRUCTION,Pestisida Pengendalian Vektor Penyakit Pada Manusia,06090120093483,2023-08-28,2028-08-28
6646,RANTAS 25/200 EC,BOMA SAKTI TANI,Insektisida,01010120165458,2021-10-12,2026-10-12
6647,CYFLUMETOFEN 98 TC,KHARISMA AGRI WIJAYA,Akarisida,0420251411,2025-11-13,2030-11-13
6648,ACASH 300 EC,CV. Raja Grafika,Fungisida,01020120185934,2023-04-26,2028-04-26
6649,TERBUTHYLAZINE 97 TC,SOLO LOGO INDONESIA,Herbisida,0420251426,2025-11-13,2030-11-13
6650,PILARCABRIO 55/5 WG,PILARQUIM AGROSCIENCE INDONESIA,Fungisida,01020120227687,2023-02-08,2028-02-08
6651,PRIMERO 75 WG,ALBAUGH AGRO INDONESIA,Herbisida,01030120145009,2024-09-19,2029-09-19
6652,FOX 500 EC,NUFARM INDONESIA,Herbisida,01030120134679,2022-12-05,2027-12-05
6653,INDOPON 80 WP,REJEKI INDO AGROTEC,Herbisida,01030120248287,2024-08-09,2029-08-09
6654,CleanBioTM-Zinc <SUPER>,TOYOTA TSUSHO INDONESIA,Fungisida,0420221076,2022-12-05,2027-12-05
6655,GANDRUNG 240 EC,BELIRANG KALISARI,Herbisida,01030120206735,2025-02-17,2030-02-17
6656,AFILA 400/125 SE,ADVANSIA INDOTANI,Fungisida,01020120196407,2024-09-19,2029-09-19
6657,GIBBRACID 40 SL,DELTA CHEMICA,Zat Pengatur Tumbuh Tanaman,01040120185955,2023-04-26,2028-04-26
6658,JATRAX 380 SC,SAFE CHEMICAL INDONESIA,Herbisida,01030120124231,2026-04-20,2031-04-20
6659,BIGTOX 0.25 MC,BUDI MUTU PRIMA,Pestisida Rumah Tangga,06080120186012,2024-03-05,2029-03-05
6660,NEMUQUAT 135 SL,MUTIARA AGRO SEJATI,Herbisida,01030120248409,2024-09-19,2029-09-19
6661,HIT 24.27 LV,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120259216,2026-01-20,2031-01-20
6662,SULPHORUS 80 WG,CATUR AGRODAYA MANDIRI,Fungisida,01020120083227,2024-03-05,2029-03-05
6663,TAMICORE 250 EC,TUNASHARAPAN MURNI,Fungisida,01020120083295,2024-03-05,2029-03-05
6664,ACTICIDE M 10 S,JAYA WARINDO ABADI,Fungisida,420251386,2025-07-11,2030-07-11
6665,DOUBLE FISH 15 GR,DWIJAYA PERKASA ABADI,Moluskisida,01050120124289,2024-03-05,2029-03-05
6666,SORAKA 150/150 SC,ALBAUGH AGRO INDONESIA,Fungisida,01020120206986,2025-11-13,2030-11-13
6667,TAKAI 360 SC,INDOIN BUSINESS GROUP,Insektisida,01010120227592,2022-12-05,2027-12-05
6668,ONE-UP 480 SL,SINAR GENERAL INDUSTRIES,Herbisida,01030120113984,2026-07-16,2031-07-16
6669,TOPKICK 240/20 EC,TIGA MUARA EMAS MAKMUR,Insektisida,01010120217095,2026-04-20,2031-04-20
6670,ACAPELA SYSTEM 280 SC,CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,Fungisida,032020491,2025-11-13,2030-11-13
6671,SLASH 480 SL,PUTRISARI KIMIANUSA,Herbisida,01030119981421,2024-09-19,2029-09-19
6672,ANDAMECTIN 60 EC,ANDAFA AGRO INDO,Insektisida,01010120217019,2026-04-20,2031-04-20
6673,Meperfluthrin 6 TC,MSR HIJAU LESTARI,Insektisida,042019765,2024-09-19,2029-09-19
6674,METSULFURON-METHYL 97 TC,MULTI SARANA INDOTANI,Herbisida,042020824,2024-08-09,2029-08-09
6675,WELLDAN 18 EC,UNI AGRO CHEMICA,Insektisida,01010120175668,2022-10-04,2027-10-04
6676,CYPERBAN 590 EC,MULTI SARANA INDOTANI,Insektisida,01010120186112,2023-04-26,2028-04-26
6677,BUPRO-NA 25 WP,AGROKIMINDO KURNIABUANA,Insektisida,01010120134666,2023-04-26,2028-04-26
6678,TRIKOS 480 EC,SINAR GENERAL INDUSTRIES,Herbisida,01030120114181,2026-07-16,2031-07-16
6679,FORCE MAGIC 0.3 AE,HERLINA INDAH,Pestisida Rumah Tangga,06080120165439,2026-07-16,2031-07-16
6680,ERKABAS 500 EC,ROLIMEX KIMIA NUSAMAS,Insektisida,01010120042078,2024-08-09,2029-08-09
6681,Force Magic Techno 4 AL,HERLINA INDAH,Pestisida Rumah Tangga,06080120237754,2023-04-26,2028-04-26
6682,MELAWI 138 SL,TIGA MUARA EMAS MAKMUR,Herbisida,01030120248514,2024-11-18,2029-11-18
6683,FOSTER 480 SL,AGRO SEJAHTERA INDONESIA,Herbisida,01030120083186,2023-08-28,2028-08-28
6684,ET-PROZONE COMPLETE 300/10 SC,ETONG CHEMICAL INDONESIA,Herbisida,01030120248610,2025-02-17,2030-02-17
6685,NAVARON 80 WP,SURAT TANI,Herbisida,01030120042110,2024-08-09,2029-08-09
6686,HANDI-HIPO 500 SL,MUTIARA AGRO SEJATI,Insektisida,01010120259068,2025-11-13,2030-11-13
6687,FORZA 50 SC,DELTAGRO MULIA SEJATI,Insektisida,01010120093386,2023-02-08,2028-02-08
6688,"ROSTOX 5,5 GR",UNI AGRO CHEMICA,Moluskisida,01050120103794,2025-11-13,2030-11-13
6689,POLYTHION 200 EC,BOMA SAKTI TANI,Insektisida,01010120093559,2024-08-09,2029-08-09
6690,Nittaris 250 SL,BERBAK AGRO SEJATI,Herbisida,01030120259252,2026-01-20,2031-01-20
6691,Innosei ® PM4,TRITUNGGAL ARTHAMAKMUR,Bakterisida,0420221116,2023-02-08,2028-02-08
6692,SELTIMA 100 CS,BASF INDONESIA,Fungisida,01020120145021,2024-03-05,2029-03-05
6693,DHARMACLEN 25 EC,DHARMA GUNA WIBAWA,Pestisida Pengendalian Vektor Penyakit Pada Manusia,06090120093533,2023-04-26,2028-04-26
6694,PRIMA-BOMB 606 EC,PRIMA KARYA BERJAYA,Insektisida,01010120186070,2023-08-28,2028-08-28
6695,TORBINOL 300/180 SC,SAPROTAN UTAMA,Fungisida,01020120196313,2024-03-05,2029-03-05
6696,TEMECO 865 SL,DHARMA GUNA WIBAWA,Herbisida,01030120124524,2022-10-04,2027-10-04
6697,DANIEL 80 WP,INDO TANI UTAMA,Fungisida,01020120217037,2026-04-20,2031-04-20
6698,KISAN 10 WP,PETROKIMIA KAYAKU,Herbisida,01030120145077,2024-09-19,2029-09-19
6699,HIT EXPERT 0.086 FU,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120227660,2023-03-08,2028-03-08
6700,ULTIMARAC 360 SC,ALBAUGH AGRO INDONESIA,Insektisida,01010120258887,2025-07-11,2030-07-11
6701,KAKUTE 60 SP,SARAREA PANEN RAYA,Insektisida,01010120196450,2024-03-04,2029-03-04
6702,VAPE 17.8 LV,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,032010245,2026-01-20,2031-01-20
6703,TETRAMYCIN 85 SP,SINAR GENERAL INDUSTRIES,Insektisida,01010120145005,2024-09-19,2029-09-19
6704,ABAMITE 18 EC,INDOIN BUSINESS GROUP,Insektisida,01010120217012,2026-04-20,2031-04-20
6705,BASAGRAN 460 SL,BASF INDONESIA,Herbisida,01030120134662,2022-12-05,2027-12-05
6706,RESPECT 200 EC,DHARMA GUNA WIBAWA,Insektisida,01010120134880,2023-04-26,2028-04-26
6707,METHYL-PRO 20 WP,REJEKI INDO AGROTEC,Herbisida,01030120165517,2026-01-20,2031-01-20
6708,PRONITE 60/20 WG,INDOIN BUSINESS GROUP,Insektisida,01010120227576,2022-12-05,2027-12-05
6709,TRIBOL X-500 EC,AGRO JAYA INDUSTRI,Insektisida,01100120248557,2024-11-18,2029-11-18
6710,RODIPO 550 SL,PERSADA AGRO SUKSES,Insektisida,01010120206859,2025-07-11,2030-07-11
6711,"2,4-D 98 TC",CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Herbisida,042021994,2026-04-20,2031-04-20
6712,TERMINATOR 135 EC,GLOBAL AGROTECH,Akarisida,01120120052329,2025-11-13,2030-11-13
6713,MUPXONE 276 SL*,AGROTECH PESTICIDE INDUSTRY,Herbisida,01030120072963,2022-06-27,2027-06-27
6714,KATHON™ LX-150 Biocide,BLUE CUBE INDONESIA,Bakterisida,042018617,2024-03-04,2029-03-04
6715,CHLORPYRIFOS 97 TC,SOLO LOGO INDONESIA,Insektisida,0420241330,2024-11-18,2029-11-18
6716,Innosei ® HT,TRITUNGGAL ARTHAMAKMUR,Bakterisida,0420221111,2023-02-08,2028-02-08
6717,DIAFURAN 10 GR,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Insektisida,032025601,2025-09-26,2030-09-26
6718,METHOMYL 315 SL,INTI EVERSPRING INDONESIA,Insektisida,032020479,2024-11-18,2029-11-18
6719,BM TOPLAZ 70 WP,BEHN MEYER AGRICARE,Fungisida,01020120103667,2024-11-18,2029-11-18
6720,MAXTOP 138 SL,MUTIARA AGRO SEJATI,Herbisida,01030120259242,2026-01-20,2031-01-20
6721,Belinate 200 SL,SENTRAL TANI NUSANTARA,Herbisida,01030120269527,2026-07-16,2031-07-16
6722,PRIMADOR 25 WP,PRIMA KARYA BERJAYA,Insektisida,01010120217259,2022-01-14,2027-01-14
6723,IMPRESSIVE 50 WP,DELTA GIRI WACANA,Herbisida,01030120237890,2023-08-28,2028-08-28
6724,DELEGATE 25 WG,CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,Insektisida,01010120165426,2026-01-20,2031-01-20
6725,PREVENTOL BIT 20 N,INDO ASIA TIRTA MANUNGGAL,Bakterisida,0420231166,2023-04-26,2028-04-26
6726,IMAR 200 SL,SARI KIMIA UNGGUL,Insektisida,01010120206742,2025-07-11,2030-07-11
6727,BIGXONE 135 SL,SARI KRESNA KIMIA,Herbisida,01030120196453,2024-08-09,2029-08-09
6728,ADORE 150/50 SC,ETONG CHEMICAL INDONESIA,Fungisida,01020120206802,2025-11-13,2030-11-13
6729,KLENSECT EXTRA 200 EC,DELTA GIRI WACANA,Insektisida,01010120083092,2026-04-20,2031-04-20
6730,GIBGRO 10 CS,NUFARM INDONESIA,Zat Pengatur Tumbuh Tanaman,01040120248385,2024-09-19,2029-09-19
6731,AUGEN 2.49/0.01 SL,TANAMAN MAKMUR MANDIRI,Zat Pengatur Tumbuh Tanaman,01040120269521,2026-07-16,2031-07-16
6732,ANKRUSS 350 FS,ADVANSIA INDOTANI,Insektisida,01010120165415,2025-11-13,2030-11-13
6733,BRENERA 100 OD,BINA GUNA KIMIA,Insektisida,01010120237980,2024-03-04,2029-03-04
6734,MATEDO 150 SL,AGRO DYNAMICS INDO,Herbisida,01030120269418,2026-04-20,2031-04-20
6735,KLOROTALONIL 98 TC,SOLO LOGO INDONESIA,Fungisida,042020839,2025-02-17,2030-02-17
6736,LAUDIS 20 WG,BAYER INDONESIA,Herbisida,01030120217149,2026-04-20,2031-04-20
6737,Hexaconazole 95 TC,SOLO LOGO INDONESIA,Fungisida,0420231133,2023-04-26,2028-04-26
6738,SHOTPLUS 50/200 EC,EASTCHEM AGROSCIENCE INDONESIA,Herbisida,01030120227581,2022-12-05,2027-12-05
6739,PRIMA-FAW 50 EC,PRIMA KARYA BERJAYA,Insektisida,01010120165655,2026-07-16,2031-07-16
6740,TALSTAR 25 EC,BINA GUNA KIMIA,Insektisida,01010119951196,2022-10-04,2027-10-04
6741,RIZETO 200 SC,INTER AGRO INDONESIA,Insektisida,01010120206773,2026-01-20,2031-01-20
6742,RANGGAS 200 SL,BIOTEK SARANA INDUSTRI,Herbisida,01030120259273,2026-01-20,2031-01-20
6743,HIT MAGIC 0.15 FU,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120196278,2024-09-19,2029-09-19
6744,OMCHAND 75 WP,OGINESIA MULTI TANI,Insektisida,01010120269615,2026-07-16,2031-07-16
6745,TILLO 500 SC,AGRO SEJAHTERA INDONESIA,Fungisida,01020120072816,2022-12-05,2027-12-05
6746,PARAKUAT DIKLORIDA 42 TC,DHARMA GUNA WIBAWA,Herbisida,042008224,2023-02-08,2028-02-08
6747,RHENOS 36 EC,RABANA AGRO RESOURCES,Insektisida,01010120175709,2022-06-27,2027-06-27
6748,SIMOKSANIL 98 TC,SOLO LOGO INDONESIA,Fungisida,0420221072,2022-12-05,2027-12-05
6749,NEW LALANG UP 481 SL,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Herbisida,01030120237912,2023-08-28,2028-08-28
6750,Ozziecide CI 150F1,CHEMIFIN JAYA UTAMA,Pestisida lain-lain,0420221081,2022-12-05,2027-12-05
6751,GLYTRON 310/49 EC,NUFARM INDONESIA,Herbisida,01030120072871,2022-06-27,2027-06-27
6752,VEGA 72 WP,SARI KRESNA KIMIA,Fungisida,01020120062386,2025-09-26,2030-09-26
6753,INDODOR 50 EC,AGROTECH PESTICIDE INDUSTRY,Insektisida,01010120093446,2023-08-28,2028-08-28
6754,CYPERPRO 150 EC,GRAHA ESA,Pestisida Pengendalian Vektor Penyakit Pada Manusia,06090120259192,2026-01-20,2031-01-20
6755,V-FULL 20/30/250 OD,VISION CROP PROTECTION,Herbisida,01030120259146,2025-11-13,2030-11-13
6756,SEMACOR 70 WG,SINAR GENERAL INDUSTRIES,Herbisida,01030120103862,2021-10-12,2026-10-12
6757,RESULT 250 SC,INDOIN BUSINESS GROUP,Zat Pengatur Tumbuh Tanaman,01040120227353,2022-06-27,2027-06-27
6758,CETAR 555 SL,FORAGRO MAJU SEJAHTERA,Herbisida,01030120175833,2022-12-05,2027-12-05
6759,HERITAGE MAXX 95 DC,SYNGENTA INDONESIA,Fungisida,01020120083125,2023-02-08,2028-02-08
6760,META-NOVA 560/14 EC,AGRO JAYA INDUSTRI,Herbisida,01030120238159,2024-03-05,2029-03-05
6761,PEKASO 550 EC,GONGCHENG BIOTECH INDONESIA,Pestisida Rumah Tangga,06080120259259,2026-01-20,2031-01-20
6762,TRI-PROLEMA 40/120 SC,TRUSTCHEM AGRO INDONESIA,Insektisida,01010120259310,2026-01-20,2031-01-20
6763,ATLANTIK 258 EC,TIGA MUARA EMAS MAKMUR,Herbisida,01030120227612,2023-02-08,2028-02-08
6764,SERBU 160 SL,BIOTIS AGRINDO,Herbisida,01030120031856,2022-01-14,2027-01-14
6765,BIOBAN™ O 100 Technical Antimicrobial,BLUE CUBE INDONESIA,Pestisida lain-lain,042017438,2022-12-05,2027-12-05
6766,ALITOPAN 24 WP,AVEL PESTINDO,Herbisida,01030120196237,2024-03-05,2029-03-05
6767,RICESTAR 69 EC,BAYER INDONESIA,Herbisida,01030120052314,2025-09-26,2030-09-26
6768,HIT 4.78 LV,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120237889,2023-08-28,2028-08-28
6769,VECTRON 20 WP,TRITAMA WIRAKARSA,Pestisida Pengendalian Vektor Penyakit Pada Manusia,06090119931105,2024-09-19,2029-09-19
6770,INTACE B-350,BLUE CUBE INDONESIA,Pestisida lain-lain,0420251471,2026-01-20,2031-01-20
6771,ALTRISET 200 SC,SYNGENTA INDONESIA,Bahan pengawet kayu,04110120206889,2025-11-13,2030-11-13
6772,AZZA 250/250 SC,ADVANSIA INDOTANI,Fungisida,01020120186172,2024-03-04,2029-03-04
6773,KENREL 525/55 EC,KENSO INDONESIA,Insektisida,01010120114137,2026-01-20,2031-01-20
6774,PRADO 25 EC,DELTAGRO MULIA SEJATI,Insektisida,01010120186062,2023-02-08,2028-02-08
6775,GOODXONE 200 SL*,BESTANI AGRO SEJAHTERA,Herbisida,01030120227411,2022-10-04,2027-10-04
6776,GETWELL 250 SC,MAKUTA AGRO SEJATI,Zat Pengatur Tumbuh Tanaman,01040120093539,2025-02-17,2030-02-17
6777,MONUMENT 75 WG,SYNGENTA INDONESIA,Herbisida,01030120083204,2023-04-26,2028-04-26
6778,METHOMYL 98 TC,INDO-SINO AGROCHEMICAL,Insektisida,0420261486,2026-04-20,2031-04-20
6779,AFFINITY 240 EC,BINA GUNA KIMIA,Herbisida,032019444,2024-08-09,2029-08-09
6780,EKSAKEONG 45 WP,NUSA MANDIRI UTAMA,Moluskisida,03050120103869,2026-07-16,2031-07-16
6781,PROMODAN 3 GR,TIGA MUARA EMAS MAKMUR,Insektisida,01010120227575,2022-12-05,2027-12-05
6782,DEET 99 TC,INTER AGRO TECHNOLOGY INDONESIA,Repelen,0420261480,2026-04-20,2031-04-20
6783,DOKU 20/80 SC,SANTANI AGRO PERKASA,Insektisida,01010120227296,2022-06-27,2027-06-27
6784,PLENTIS 60 OD,KINGAGROOT BIOTECHNOLOGY INDONESIA,Herbisida,01030120248417,2024-09-19,2029-09-19
6785,IMIDAKLOPRID 97 TC,SAFE CHEMICAL INDONESIA,Insektisida,0420221052,2022-10-04,2027-10-04
6786,FORAY 50 SC,DALZON CHEMICALS INDONESIA,Insektisida,01010120093396,2024-03-05,2029-03-05
6787,NEO RONDA PLUS 375 SL,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Herbisida,01030120227681,2023-02-08,2028-02-08
6788,MATENO UP 165 SL,AGROTECH PESTICIDE INDUSTRY,Herbisida,01030120227554,2022-12-05,2027-12-05
6789,SAGRI STORM 400/50/100 SC,SATYA AGRO INDONESIA,Herbisida,01030120227355,2022-06-27,2027-06-27
6790,STARLON 665 EC,NUFARM INDONESIA,Herbisida,01030120072899,2022-06-27,2027-06-27
6791,HIGRADE 200 EC,SARI KIMIA UNGGUL,Insektisida,01010120072664,2022-12-05,2027-12-05
6792,Soffell 130 AL,HERLINA INDAH,Repelen,06080120206684,2025-11-13,2030-11-13
6793,VICENTE 865 SL,INDO HOECHST,Herbisida,01030120052234,2026-01-20,2031-01-20
6794,ZENITH 75 WP,CROP CARE INDONESIA,Fungisida,01020120134736,2022-12-05,2027-12-05
6795,CALIWA ULTRA 60/9 WP,ZENITH CROPSCIENCES INDONESIA,Fungisida,01020120196336,2024-08-09,2029-08-09
6796,DRIP-UP PLUS 490 SL,GLOBAL AGRO MANDIRI,Herbisida,01030120103830,2025-09-26,2030-09-26
6797,BLADE 5/50 WP,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Insektisida,01010120248461,2024-11-18,2029-11-18
6798,BUROX 510 EC,TIGA MUARA EMAS MAKMUR,Insektisida,01010120258749,2025-07-11,2030-07-11
6799,LULANGAN 150 SL,FLORA FAUNA AGRO,Herbisida,01030120259087,2025-11-13,2030-11-13
6800,CHLORMITE STAR 550/100 EC,FOCUSINDO ASIA PACIFIC,Insektisida,01010120155193,2024-08-09,2029-08-09
6801,PICOMORE 300/100 SC,RAINBOW AGROSCIENCES,Fungisida,01020120238041,2024-03-04,2029-03-04
6802,METALAX-M 25 WP,GLOBAL AGROTECH,Fungisida,01020120103772,2025-07-11,2030-07-11
6803,ECOSIDA WP,NAZA AGRO'S,Fungisida,01020120217030,2026-01-20,2031-01-20
6804,Innosei® IMU,TRITUNGGAL ARTHAMAKMUR,Bakterisida,0420221112,2023-02-08,2028-02-08
6805,Glufosinate-ammonium 50 TK,SYNGENTA INDONESIA,Herbisida,0420231230,2024-03-04,2029-03-04
6806,NISSOZIN 20 SP,MITSUBISHI CORPORATION INDONESIA,Insektisida,01010120175855,2022-06-27,2027-06-27
6807,PUMA 160 SL,WIHADIL,Herbisida,01030119961281,2023-02-08,2028-02-08
6808,LAVENDA 12.5 Lt,PT LION WINGS,Repelen,06080120227326,2022-06-27,2027-06-27
6809,Trutone 100 SC,AGRO SENTOSA RAYA,Insektisida,01010120248559,2024-11-18,2029-11-18
6810,GEMAXONE 276 SL,SARI KRESNA KIMIA,Herbisida,01030120093594,2024-09-19,2029-09-19
6811,NARKIS 100 SC,ROYAL AGRO INDONESIA,Herbisida,01030120175775,2023-04-26,2028-04-26
6812,TRUPER 3 G,DELTAGRO MULIA SEJATI,Insektisida,01010120011590,2021-10-12,2026-10-12
6813,MERIZONE MAXX 70/40/200 OD,AGRO TERRUM INDONESIA,Herbisida,01030120248661,2025-02-17,2030-02-17
6814,LIUXONE 150 SL*,PETROSIDA GRESIK,Herbisida,01030120165627,2022-01-14,2027-01-14
6815,LOCK UP 240 SC,CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,Herbisida,032012286,2022-06-27,2027-06-27
